binary_score (1:good   0: bad),news_title,news_writer,news_written_date,news_text,news_url
0,COVID-19 cases (Aug. 26),['THE ASAHI SHIMBUN'],"August 27, 2021 at 11:28 JST",,https://www.asahi.com//ajw/articles/14427272
0,11 more COVID-19 deaths in Tokyo; record cases in Osaka,['THE ASAHI SHIMBUN'],"August 26, 2021 at 19:05 JST"," Tokyo reported 4,704 fresh cases of COVID-19 on Aug. 26, down 830 from a week ago, and 11 deaths among patients in their 50s to 90s. The same day, Osaka Prefecture confirmed 2,830 new infections, exceeding the previous high for the second straight day. The capital's latest tally brought the daily average of new infections in the metropolis over the week through Aug. 26 to 4,352.9, or 91.2 percent of the figure for the preceding week, according to metropolitan government officials. The average number of diagnostic tests conducted in the capital over the three days through Aug. 25 stood at 17,634.7. The number of serious cases in Tokyo requiring ventilators or extracorporeal membrane oxygenation, also known as an ECMO lung bypass machine, dropped by one from the previous day to 276 on Aug. 26. Of the 4,704 cases, 1,330 patients were in their 20s, followed by 896 in their 30s, 811 in their 40s and 512 in their 50s. Patients aged between 10 to 19 accounted for 481 cases, while 248 were 65 or older.",https://www.asahi.com//ajw/articles/14426657
0,"Suga cites ‘light’ at end of tunnel, expands state of emergency",['THE ASAHI SHIMBUN'],"August 26, 2021 at 18:55 JST"," Prime Minister Yoshihide Suga decided to add eight more prefectures to the state of emergency list on Aug. 25, but also said that he has “begun to clearly see light” at the end of the tunnel in Japan's battle against COVID-19. The targeted eight prefectures are Hokkaido, Miyagi, Gifu, Aichi, Mie, Shiga, Okayama and Hiroshima. Pre-emergency measures will be additionally placed on Kochi, Saga, Nagasaki and Miyazaki prefectures. The expansion of the state of emergency and pre-emergency measures will be applied from Aug. 27 to Sept. 12. A total of 21 of Japan's 47 prefectures will be covered under the state of emergency once the change takes effect, and 12 will be covered under pre-emergency measures. “(I) have begun to clearly see light (at the end of the tunnel),"" Suga said during a news conference. ""I will decide whether to extend the declaration ending on Sept. 12 by analyzing the COVID-19 vaccination progress, the number of patients with serious conditions, the bed occupancy rate and other factors.” Suga also raised the prospect of vaccine passports as part of Japan's path back to normalcy. “We will consider regaining our daily lives and social-economic activities, such as going to eating and drinking establishments, and events, and taking trips, by using vaccine passports actively,” he said. Shigeru Omi, chief of the government’s expert panel on the response to the COVID-19 health crisis, also attended the news conference. Commenting on the timing for lifting the state of emergency, he said, “The most important thing is how much the strain in the medical care system will be alleviated.” Suga declared that he will decide to use a reserve fund of 1.4 trillion yen ($12.73 billion) for countermeasures against the new coronavirus within this week. “We will respond to urgent tasks, such as the vaccination efforts and procurement of neutralizing antibody drugs.” Suga also spoke about measures to prevent children from getting infected. “The central government won’t ask all schools in Japan to close down at the same time,” he said. But he also said that he will present guidelines swiftly to allow schools and municipal governments to properly decide on whether to suspend schools when infections occurred there. Omi, at the Lower House’s Committee on Health, Labor and Welfare on Aug. 25, said, “Each municipal government should decide whether to postpone to some extent the date when schools will start after the summer break.” The expert panel on the same day recommended that related authorities hand out simplified antigen test kits to kindergartens, elementary and junior high schools from early September. It also urged them to ask municipal governments to give special consideration to teachers who want to get inoculated to accelerate their vaccinations.",https://www.asahi.com//ajw/articles/14426484
0,Paralympics log 1st COVID-19 case requiring hospitalization,['THE ASAHI SHIMBUN'],"August 26, 2021 at 17:55 JST"," A Tokyo Paralympics staffer from overseas has been hospitalized with COVID-19, the first time someone involved in the Games has required medical admission for the virus, the event organizer announced on Aug. 26. A total of 15 accredited people newly tested positive for the novel coronavirus that day, the organizer confirmed. The symptoms of the person admitted to the hospital “are not serious,” the organizer said. The organizer on Aug. 12 began releasing the number of new infections among people linked to the Paralympics. A total of 184 people related to the event have contracted COVID-19 to date, but no one required hospitalization until the most recent case, according to the organizer. Two of the latest 15 cases are athletes and their infections were confirmed at the athletes’ village, while 10 people are contractors and three are staff. Four of the 15 came from abroad, while 11 people reside in Japan.",https://www.asahi.com//ajw/articles/14426480
0,1.6 million jabs halted after tainted Moderna doses discovered,['By KAI ICHINO/ Staff Writer'],"August 26, 2021 at 15:20 JST"," About 1.6 million scheduled jabs of the Moderna COVID-19 vaccine have been canceled after contaminants were discovered in some of the vials. The health ministry announced on Aug. 26 that contaminated doses were detected and reported at multiple vaccination sites. It confirmed at least 390 doses of the Moderna vaccine had become contaminated with a foreign substance. The tainted vaccines were initially scheduled for use at eight large-scale vaccination sites in Tokyo and four prefectures: Saitama, Aichi, Ibaraki and Gifu. But officials have halted their use. There have not been any reported safety concerns as of now, the ministry added. The ministry has halted the use of 1.6 million doses of Moderna vaccines manufactured through the same processes as the vaccines that were confirmed tainted. It is unknown how many people have received a dose out of these 1.6 million, distributed to 863 sites nationwide, according to the ministry. The vaccines in question were manufactured in Spain, and Moderna is investigating the makeup of the contaminants. A piece of rubber was reportedly found in other manufacturers’ vaccines, the ministry said. In the process of attaching a rubber stopper to the vial, a piece of rubber can sometimes get through and end up in the vial, it added. Starting from mid-August, inoculators at multiple vaccination sites noticed contamination of Moderna vaccines. They reported the matter to Takeda Pharmaceutical Co., which imports and sells Moderna vaccines. The ministry learned about the problem on Aug. 25. All the Moderna vaccines used in Japan are manufactured by the same company based in Spain, the ministry said. The company conducted large-scale maintenance work and changed its manufacturing process, the ministry said. If the foreign substance turns out to be bits of rubber, the risk of the rubber clogging a person’s blood vessels is low because the vaccine is injected into muscle, the ministry said. But if people who got the vaccine develop concerning symptoms, they should call a health care organization immediately, the ministry said.",https://www.asahi.com//ajw/articles/14426321
0,COVID-19 cases (Aug. 25),['THE ASAHI SHIMBUN'],"August 26, 2021 at 11:30 JST",,https://www.asahi.com//ajw/articles/14426380
0,"Record 2,808 virus cases in Osaka; Tokyo logs 4,228",['THE ASAHI SHIMBUN'],"August 25, 2021 at 19:00 JST"," Osaka Prefecture reported a record 2,808 fresh cases of COVID-19 and a single fatality from the disease on Aug. 25, while Tokyo logged 4,228 and 11 deaths among patients in their 30s through 90s. Aichi Prefecture also reported a record 1,815 fresh cases the same day. The tally in Tokyo for infections was down by 1,158 from the previous Wednesday, metropolitan health officials said. The seven-day average of new cases over the week through Aug. 25 came to 4,471.4, or 95.2 percent of the figure for the preceding week. It marked the first time since June 19, when a 96.6 percent rate was recorded, for the seven-day average to drop from the figure for the preceding week. The number of tests conducted daily from Aug. 22 to Aug. 24 averaged 13,908.3, officials said. Serious cases of patients on a ventilator or ECMO heart-lung bypass machine in the capital increased by nine from the previous day to 277. Hyogo Prefecture confirmed 1,088 new cases, tying its previous record. Aomori Prefecture in northeastern Japan reported a record 104 new cases, topping 100 for the first time.",https://www.asahi.com//ajw/articles/14425776
0,Eight more prefectures to fall under state of emergency,['THE ASAHI SHIMBUN'],"August 25, 2021 at 13:50 JST"," The government on Aug. 25 is to expand its COVID-19 state of emergency to eight more prefectures in an effort to contain a dramatic surge in infections. Tokyo and Osaka are among 13 prefectures already slapped with emergency curbs. The latest targeted pr efectures--Miyagi, Gifu, Aichi, Mie, Shiga, Okayama and Hiroshima, as well as the northern main island of Hokkaido--are currently under pre-emergency measures. The government's expert panel on ways to respond to the pandemic approved the plan in the morning of Aug. 25. The government is to officially decide on the expansion in the afternoon. Pre-emergency measures, which are currently enforced in 16 prefectures, are to be applied for Kochi, Saga, Nagasaki and Miyazaki prefectures as well. The state of emergency and the pre-emergency measures for the latest additions will kick off Aug. 27 and end Sept. 12. With the government’s new additions, the emergency and pre-emergency steps will cover 21 and 12 prefectures, respectively. Those 33 prefectures account for 70 percent of the nation's 47 prefectures. “We will make stronger efforts to bolster medical care services and secure more hospital beds by using temporary medical facilities, for example,” Yasutoshi Nishimura, the minister who heads the government’s response to the COVID-19 pandemic, told the expert panel in reference to areas where the state of emergency or other countermeasures are in force or about to be enforced. Noting that a new semester will start soon, Nishimura said the government “will try to strengthen our preventive measures in schools against the spread of COVID-19 as much as possible.”",https://www.asahi.com//ajw/articles/14425425
0,COVID-19 cases (Aug. 24）,['THE ASAHI SHIMBUN'],"August 25, 2021 at 11:56 JST",,https://www.asahi.com//ajw/articles/14425448
0,"Tokyo reports 4,220 new cases and 9 new deaths from COVID-19",['THE ASAHI SHIMBUN'],"August 24, 2021 at 18:13 JST"," Tokyo reported 4,220 fresh COVID-19 cases on Aug. 24, down 157 from a week ago, metropolitan health officials said. They also said nine patients in their 40s through 90s died from COVID-19. The seven-day average of new cases over the week through Aug. 24 in the capital was 4,636.9, rising 2.4 percent from the figure for the preceding week. The number of tests performed from Aug. 21 to Aug. 23 averaged 11,335.7. Serious cases requiring a ventilator or ECMO heart-lung bypass machine in the capital were down by four from the previous day to 268 on Aug. 24. Tokyo does not count patients in ICUs as serious cases if they were not on a ventilator or ECMO. Of the 4,220 newly confirmed infections, patients in their 20s accounted for 1,282 cases. They were followed by 881 in their 30s, 674 in their 40s and 434 teenagers. Patients in their 50s stood at 424, while those 65 or older totaled 189.",https://www.asahi.com//ajw/articles/14424862
0,COVID-19 cases (Aug. 23),['THE ASAHI SHIMBUN'],"August 24, 2021 at 11:30 JST",,https://www.asahi.com//ajw/articles/14424609
1,"Tokyo logs 2,447 new COVID-19 cases, down 515 from week ago",['THE ASAHI SHIMBUN'],"August 23, 2021 at 19:04 JST"," Tokyo confirmed 2,447 new COVID-19 cases on Aug. 23 and five deaths from the novel coronavirus of patients in their 50s to 80s, according to the metropolitan government. New cases in the capital fell 515 from a week ago and brought its daily average of new infections over the week through Aug. 23 to 4,659.3, up 9 percent from the preceding week. The average number of diagnostic tests conducted in the capital over the three days through Aug. 22 stood at 9,370.3. The number of serious cases in Tokyo requiring ventilators or extracorporeal membrane oxygenation, also known as an ECMO lung bypass machine, rose one from the previous day to 272 on Aug. 23. Of the 2,447 new cases, 744 patients were in their 20s, followed by 508 in their 30s, 383 in their 40s and 244 in their 50s. Patients aged between 10 to 19 accounted for 277 cases, while 94 were 65 or older.",https://www.asahi.com//ajw/articles/14424069
1,Osaka city starts inoculating residents with AstraZeneca jabs,['THE ASAHI SHIMBUN'],"August 23, 2021 at 18:10 JST"," OSAKA--Osaka city has begun mass inoculations using AstraZeneca’s COVID-19 vaccine to speed up the pace of its rollout amid a shortage of Pfizer doses. Health care workers began administering the AstraZeneca vaccine to people on Aug. 23 at Shiromi Hall inside Osaka-jo Hall in the city’s Chuo Ward. The campaign is targeting city residents aged 40 or older. But those aged between 18 and 39 are also eligible under certain conditions, according to city officials. Those include if the person is unable to receive doses of the Pfizer or Moderna vaccines because of allergies, or if they have already been given their first shot of the AstraZeneca vaccine abroad. Every Monday, the city’s website and call centers will accept AstraZeneca vaccination reservations for the following week. The central government has supplied the AstraZeneca vaccine to Tokyo as well as Saitama, Chiba, Kanagawa, Osaka and Okinawa prefectures, which have been under a state of emergency, ahead of other regions. It had shipped all the doses for the six prefectures as of Aug. 16, according to the health ministry. The government was initially planning to authorize AstraZeneca only for people aged 60 or older. But it did an about-face after the National Governors’ Association, the ruling Liberal Democratic Party and government officials called for it to be used more widely because of a shortage of Pfizer and Moderna shipments. The government had secured millions of AstraZeneca doses, but they had not been used in Japan due to concerns over rare blood clots reported in people who have received the shots.",https://www.asahi.com//ajw/articles/14424014
0,COVID-19 testing failing to catch up to speed of coronavirus,['THE ASAHI SHIMBUN'],"August 23, 2021 at 18:02 JST"," The positivity rate for COVID-19 tests has risen in many parts of the country, raising concerns that testing is falling behind the pace at which the coronavirus is spreading. A central government panel has defined the most serious infection situation, stage four, as when the positivity rate reaches 10 percent or more, and stage three at 5 percent or more. As of Aug. 19, the Cabinet Secretariat’s official figure for Tokyo’s positivity rate over the latest week was high: 23.3 percent. It was 34.8 percent in Kanagawa Prefecture, while the national average was 16.4 percent. During an Aug. 20 meeting, Tokyo metropolitan government officials pointed to a failure of conducting tests quickly enough on those who need to be tested. But Tokyo has yet to reach the limit of its capacity for administering tests. What the government refers to as “administrative testing” is available at public expense for those with COVID-19 symptoms or who have been exposed to the virus. As of Aug. 20, 14,000 people on average received an administrative test in Tokyo per day in the last seven days. But according to the metropolitan government, more than 40,000 administrative tests a day can be conducted at about 3,800 health care organizations in the capital. A metropolitan government official denied that Tokyo has scaled back its testing efforts. The low number reflects “the number of patients who go to a health care organization that conducts administrative testing,” the official said. One of the major reasons why the number of administrative tests has grown at such a sluggish pace is because a massive epidemiological study being carried out at public health centers is running behind. The research aims to identify infected people as soon as possible to prevent the virus from spreading quickly. In the study, public health center representatives interview infected people about their recent history, identify people who have been in close contact with them and then test those close contacts. Many of those in close contact with infected individuals are not infected themselves. When the study is being conducted widely, it contributes to an increase in testing and a lower positivity rate. But when the number of infected people increases to a certain point, the study has less of an impact on the numbers. Another reason is that public health centers are preoccupied with many important tasks other than testing, such as finding hospitals to transport patients and monitoring patients’ health conditions. On top of all that, not everyone exhibiting COVID-19 symptoms wants to get tested. The Asahi Shimbun “Last year, there were many people who wanted to take a test even though they had minor symptoms. But not now,” said Fujiki Ishihara, director of the Kitashinagawa Fuji Clinic in Tokyo’s Shinagawa Ward. At the same time, private companies that conduct “self-pay testing” have stepped up their presence. This kind of testing targets people who do not have symptoms and are less likely to have contracted the virus. A subsidiary of the Tokyo-based Kinoshita Group has conducted self-financed tests at 15 locations, including three airports. It can run about 15,000 tests per day. Appointments for tests have been fully booked every day at least as far back as the four-day holiday weekend in July. The positivity rate until early July was about 1.3 percent. But it rose to around 3 percent at the end of the month. The health ministry in July started releasing the number of self-pay tests provided by certain private-testing companies. According to data released on Aug. 22, there were about 1.71 million private tests conducted in the span of about a month up until Aug. 14. During the same period, about 2.55 million administrative tests were conducted. But the positivity rate released by the health ministry and other administrative agencies does not include self-pay tests. In areas where many private tests are conducted, the positivity rates may have become higher than they are in actuality. (This article was written by Aya Amano, Kazuya Goto and Akiyoshi Abe.)",https://www.asahi.com//ajw/articles/14423945
0,COVID-19 cases (Aug. 22),['THE ASAHI SHIMBUN'],"August 23, 2021 at 12:33 JST",,https://www.asahi.com//ajw/articles/14423882
0,"Sunday virus record in Tokyo; Records set elsewhere, too",['THE ASAHI SHIMBUN'],"August 22, 2021 at 18:33 JST"," Tokyo reported 4,392 fresh cases of COVID-19 on Aug. 22, the most for a Sunday, and eight deaths. Osaka Prefecture, meanwhile, reported more than 2,000 new cases, the fifth day in a row for the figure to top 2,000, and Mie Prefecture logged a record 432 new cases, setting a record for the sixth consecutive day. The seven-day average of newly confirmed infections in the capital over the week through Aug. 22 came to 4,732.9, up 11 percent from the figure for the preceding week, metropolitan officials said. Serious cases, which Tokyo defines as those where patients require a ventilator to breathe or an ECMO lung bypass machine, rose by one to 271. Other prefectures include patients in ICU units in their figures. Patients in their 20s accounted for 1,341 of the 4,392 newly confirmed cases, followed by 845 in their 30s, 711 in their 40s and 484 in the 10 to 19 age bracket. The number of patients in their 50s stood at 444, while those aged 65 or older accounted for 208 cases.",https://www.asahi.com//ajw/articles/14423376
