https://mainichi.jp/english/covid-vaccination-close-up/,,,,
title,content,written_date,bin_score,score
Japan PM Suga asks Pfizer CEO to bring forward COVID-19 vaccine delivery amid shortage,"TOKYO (Kyodo) -- Japanese Prime Minister Yoshihide Suga met with Pfizer Inc. CEO Albert Bourla in Tokyo on Friday and asked the U.S. firm to bring forward some of its COVID-19 vaccine deliveries planned for this fall in the face of concerns in the country about a supply shortage, officials said.

Their 40-minute meeting over breakfast at the Akasaka Palace state guest house, which is usually used to welcome heads of state, came after prefectural governors and mayors, who had hoped to speed up the vaccination drive at local levels, criticized the central government over a slowdown in the rollout.

Japan contracted with the U.S. pharmaceutical giant to receive 100 million vaccine doses by June with another 70 million due to be shipped between July and September and another 20 million in or after October.

Suga requested at the meeting that the 20 million doses from October be brought forward, the officials said.

Talks on the issue are expected to continue, the officials said.

Taro Kono, the minister in charge of vaccination efforts, accompanied Suga.

Some local governments have been forced to halt their vaccination programs after vaccine demand began to outstrip supply.

According to the latest available government data, about 23 percent of Japan's population has been fully inoculated against COVID-19 as of Wednesday, with about 35 percent having received at least one shot.","July 23, 2021",1,4
Infections won't decline even if 60% of population vaccinated: Japan task force head,"TOKYO -- Shigeru Omi, head of the government's coronavirus countermeasures subcommittee, said in an evening TV program on July 20, ""Unfortunately, this virus is so strong that infections can't be brought under control even if about 60% of the population receives them (the vaccine).""

In the Nippon Television Network Corp.'s program, Omi expressed his view that it would be difficult to obtain herd immunity even if the vaccination rate increased, and that restrictions on daily and economic activities should be eased carefully.

Omi pointed out that ""if 60 to 70% of the population is inoculated, the number of seriously ill patients will decrease, but infections cannot be completely prevented.""

When asked about how the U.K. ended most of its infection countermeasures such as mask mandates and restrictions on the number of participants at events in England on July 19, including London, he replied, ""That's a pretty risky way to go about it. Japan should be a little more careful.""

Omi also predicted that if the number of new infections continue to increase at the current pace in Tokyo, coronavirus cases will double in two weeks and exceed the peak of the ""third wave"" when it saw a record high of infections around the year-end and the New Year holidays.

""We're arriving at the toughest time ever. The collapse of the health care system is possible, so I want everyone to make one last effort,"" he said.

The coronavirus subcommittee has announced that it plans to put together a guideline on the way of life when the vaccine rollout has progressed by Aug. 22 -- the deadline for the current state of emergency.","July 21, 2021",1,3
Takeda to import extra 50 mil. Moderna COVID-19 doses to Japan in 2022,"TOKYO (Kyodo) -- Japan's Takeda Pharmaceutical Co. said Tuesday it will import an additional 50 million doses of U.S. developer Moderna Inc.'s coronavirus vaccine from as early as the beginning of 2022, in a move that could help speed up inoculation efforts in the country.

The additional doses, to be provided based on a three-way agreement with Moderna and the Ministry of Health, Labor and Welfare, will bring the total number of doses of the vaccine to 100 million. Takeda handles the sale and distribution of the vaccine in Japan.

Takeda said the agreement ""includes the potential to secure and supply vaccines corresponding to COVID-19 variants or booster products, should they be successfully developed by Moderna"" and licensed by the ministry.

It is not yet known how long the effect of the COVID-19 vaccine will last. Other countries have begun administering booster shots, or third or subsequent doses, to prolong immunity.

In response to the agreement, health minister Norihisa Tamura told reporters, ""We will continue to work together to ensure a smooth supply of vaccines.""

The Japanese government has already signed an agreement to receive 50 million doses of Moderna's vaccine by the end of 2021. The vaccine is being used in mass vaccination sites and workplace inoculations in Japan, but the government has said supplies are limited.

Discussions are also under way between the health ministry and Takeda to secure 150 million doses of the vaccine developed by U.S. pharmaceutical giant Novavax Inc. starting in early 2022.","July 20, 2021",1,4
Health ministry panel approves Moderna COVID vaccine for ages 12-17,"TOKYO (Kyodo) -- A Japanese health ministry panel on Monday approved Moderna Inc.'s COVID-19 vaccine for ages 12 to 17, clearing the way for it to become the second shot available to adolescents in the country after the one developed by Pfizer Inc.

The Ministry of Health, Labor and Welfare is expected to decide at a later date to provide the Moderna vaccine free of charge to the age group as part of the government's nationwide vaccination program.

Among the more than 3,700 subjects aged 12 to 17 who took part in clinical trials in the United States, none developed signs of COVID-19 within 14 days of receiving a second dose, while four in a group that was given placebos showed symptoms.

The U.S. biotechnology firm has also filed with drug authorities in the United States, Canada and the European Union for use of the vaccine in adolescents.

Japan is administering the Moderna vaccine, to which it granted emergency approval for people aged 18 and older in May, at vaccinations centers run by the Self-Defense Forces in Tokyo and Osaka, as well as large sites set up by local governments, companies and universities.

But the minister in charge of vaccination efforts, Taro Kono, has warned that supply is struggling to keep up with demand, making it unclear when adolescents will be able to receive shots.

The health ministry panel also approved the use of casirivimab and imdevimab for an ""antibody cocktail"" developed by U.S. firm Regeneron Pharmaceuticals Inc. and famously used to treat then U.S. President Donald Trump for COVID-19.

Clinical trials showed the treatment, marketed as REGEN-COV, lowered the risk of hospitalization or death by about 70 percent.","July 19, 2021",1,4
Taiwan government  approves production of 1st local COVID-19 vaccine,"TAIPEI (Kyodo) -- The Taiwan government approved on Monday the production and emergency use of the first locally developed COVID-19 vaccine, a landmark event in the self-ruled island's fight against the deadly coronavirus.

Food and Drug Administration Director General Wu Shou-mei, speaking to the press at the Central Epidemic Command Center, also said that the vaccine produced by Medigen Vaccine Biologics Corp. should gradually become available starting next month.

""(Medigen) is designed for people aged over 20 who will get two shots 28 days apart,"" Wu said.

The Taiwan-based biopharmaceutical company announced on June 10 that it had completed the second phase of clinical trials for its COVID-19 vaccine candidate and that the results met the safety standards set by the FDA for an emergency use authorization.

As the company was granted the emergency use authorization, it is working to conduct phase three clinical trials at home and abroad to seek international recognition.

The Taiwan government has signed contracts to purchase 5 million doses of the Medigen vaccine and another 5 million doses from another local vaccine maker, United Biomedical Inc., whose application for emergency use authorization is still pending.

The government has also signed contracts to purchase nearly 20 million vaccines from Moderna, AstraZeneca and unspecified brands through the global COVAX facility.

As of Sunday, a total of 5.19 million COVID-19 vaccine doses had been administered in Taiwan, covering about 22 percent of the total population.

President Tsai Ing-wen has set the goal of having 20 to 25 percent of the population receiving at least one dose of the two-shot vaccine regimen by the end of this month.","July 19, 2021",1,3
56% say Japan's COVID-19 vaccine rollout not going smoothly: Mainichi poll,"A nationwide public opinion poll found that 56% of those surveyed do not think that Japan's vaccine rollout is going smoothly, down 4 percentage points from the previous survey conducted on June 19.

The survey was conducted July 17 by the Mainichi Shimbun and the Social Survey Research Center.

Meanwhile, 27% of those polled -- the same percentage as in the previous survey -- said that they believed the rollout was going smoothly, while 17% said they cannot say either way, down from 21% in the previous poll.

The Japanese government has made it its goal to finish vaccinating those aged 65 and older by the end of July, and to finish vaccinating all others who want to be by the end of November. But the vaccine supply has been disrupted, and many local governments have stopped taking vaccine appointments, leading an increasing number of people to believe that the rollout is in trouble.

Asked about their vaccination status, 29% of those polled said that they had been vaccinated, up from the 12% in the June survey, and 3% in the survey before that, taken on May 22. Those who said that they would ""get vaccinated immediately"" if they became eligible accounted for 50% of those polled, down from 57% in the June poll, while 15% said they would take a ""wait and see"" approach, down from 24% in the previous poll. Meanwhile, 4%, the same percentage as in the previous poll, said they would ""not get the vaccination,"" and 1%, also the same figure as in the previous poll, said they ""did not know.""

The administration of Prime Minister Yoshihide Suga sees vaccinations as the trump card to bringing the coronavirus crisis under control. But among those polled who said they were already vaccinated, less than 30% said they approved of the Suga Cabinet, which is not far off from the trend among all respondents.

On July 12, the Japanese government declared Tokyo's fourth state of emergency over the coronavirus. Asked whether they believed the declarations curb the spread of infections, only 16% said they ""believed they have an effect."" Meanwhile, 66% of those surveyed said they ""did not believe they have an effect,"" and 18% said they ""could not say either way."" The state of emergency is set to run until Aug. 22, meaning that in Tokyo, about 70% of all days this year up to that point will have been under a state of emergency. The emergency has become the new normal, leading many to believe that it does not impact people's behaviors much.

Heavy rains have caused disasters in many parts of the country. When asked whether respondents believed that their communities were in danger of such disasters, 45% said they ""believed they were in danger,"" while 37% said ""they were not in danger,"" and 17% said they ""did not know."" By age group, over 40% among those between the ages of 18 to 69 said they ""believed they were in danger,"" but among those 70 and older, less than 30% said so.

Prime Minister Yoshihide Suga's term as the ruling Liberal Democratic Party (LDP)'s president will end at the end of September. When those surveyed were asked how long they wanted him to serve as PM, only 14%, down 1 point from the previous poll, said they wanted him ""to continue for as long as possible,"" while 45%, also down 1 point from the previous poll, said they wanted him ""to continue until the end of his current term."" Those who said they wanted him to ""step down as soon as possible"" accounted for 40% of respondents, up 1 point from the last poll.

As for political party approval ratings, the LDP garnered the most support with 28%, down 2 points from the last survey. The main opposition Constitutional Democratic Party of Japan (CDP) held steady at 10%, while the Japanese Communist Party (JCP)'s support rating rose by 1 point to 7%. Nippon Ishin no Kai (Japan Innovation Party) kept its support rating at 6%, while Komeito was also unchanged at 4%, and the Democratic Party for the People (DPFP) kept its support rating at 1%. Support for Reiwa Shinsengumi was 1%, compared to 2% in the last poll. Respondents who said they supported no political party stood at 39%, down 1 point since the preceding poll.

In a cellphone poll of 746 people, respondents were asked to name one political party that would be their choice for proportional representation seats in the next House of Representatives election. The responses are below, with percentages from the poll in June noted in parentheses.

Liberal Democratic Party: 25% (23%), Constitutional Democratic Party of Japan: 13% (12%), Japanese Communist Party: 8% (5%), Nippon Ishin no Kai (Japan Innovation Party): 6% (6%), Komeito: 3% (4%), Reiwa Shinsengumi: 2% (2%), Democratic Party for the People: 2% (1%), Social Democratic Party: 1% (1%), Arashi no to: 1% (0%)","July 19, 2021",0,2
"Southwest Japan village to discard 2,160 doses of COVID vaccine due to unplugged freezer","AKA, Fukuoka -- A village in southwest Japan announced on July 18 that it would discard 2,160 doses of COVID-19 vaccine designated for its residents as the storage freezer had been unplugged, causing inside temperatures to rise.

The population of the Fukuoka Prefecture village of Aka was 2,776, according to preliminary figures from the 2020 census. An official at the municipal government commented, ""As vaccine supplies are dwindling, this will likely affect our rollout plans. We will consult how to respond to the situation with the prefectural government.""

According to the village, the vaccine storage freezer apparently became unplugged for some reason during electrical work on the evening of July 16. The municipal government consequently canceled vaccination appointments for 174 people on July 17 and 306 on July 18, mainly among villagers aged under 65.","July 19, 2021",0,1
Smartphone app enables users to keep COVID-19 vaccination records,"TOKYO (Kyodo) -- A Tokyo-based medical venture has introduced a smartphone app feature enabling users to keep records of their COVID-19 vaccinations as many companies and universities have started administering doses to curb infections.

The new feature has been added to MinaCare Co.'s free vaccine and health monitoring app as it may become difficult for individuals to keep track of their inoculation history, especially when they receive shots at workplaces and schools without vaccination tickets issued by municipalities.

The Health Amulet app can automatically record the names of vaccine developers and manufacturers, while allowing users to insert information such as vaccine lot numbers, and their past and scheduled dates of inoculation.

The app reminds users of scheduled inoculation dates.

The Japanese company has tied up with U.S. pharmaceutical giant Pfizer Inc., enabling the app to provide the latest information about its vaccine.

MinaCare is also considering including the official certificates to be issued by municipalities as early as this month that will be used as so-called vaccine passports, it said.

Apart from COVID-19, users can store information about other vaccinations such as influenza shots.

MinaCare President Yuji Yamamoto, who is also a doctor, said, ""It is important for everyone to keep a record of when they received a shot"" of COVID-19 vaccine, as how long the vaccines will remain effective is unclear and it may become necessary to get shots on a regular basis.

""As some aspects of the vaccines are unknown as they have been developed with new technology, I want people to utilize the app to protect themselves for a long period of time,"" Yamamoto added.

So far, more than 40 organizations including companies and municipalities have agreed to introduce the app to staff and residents. They include Japan Airlines Co., the health insurance association of Seven & i Holdings Co. and the city of Fukuoka.

MinaCare has also tied up with Gurunavi Inc., which operates an online restaurant guide, to encourage employees of eateries to use the app.","July 18, 2021",1,3
Most major cities in Japan revise vaccine plans amid supply crunch,"TOKYO (Kyodo) -- Nearly 80% of 47 prefectural capitals in Japan said they either have changed or intend to change their plans to vaccinate their local residents against COVID-19 amid a supply shortage of vaccines, a Kyodo News survey showed Saturday.

Of the surveyed local governments, 37 said their revised plans include suspending, delaying or scaling back reservations by residents, as the central government's supplies of Pfizer Inc. vaccine are not able to meet the pace of their inoculations.

A total of 33 cities, or 70 percent, said the amount of doses allocated for July remains less than half the desired amount, with Fukui, Okayama and Nagasaki saying they are receiving only about 20 percent of what they had expected to procure, according to the survey.

Five city governments said they have pushed back or may delay the second round of vaccination, which usually takes place about three weeks after the first shot. The vaccine can remain effective for up to six weeks from the inoculation, according to the central government.

The survey result came as local governments have complained that they were encouraged by the administration of Prime Minister Yoshihide Suga to rapidly expand vaccination capacity, only to be told that supplies could not keep up.

Taro Kono, the minister in charge of vaccination efforts, said Thursday that Japan has secured sufficient Pfizer doses for about 1.2 million vaccinations per day through September, compared with the current pace of 1.5 million. He called on prefectures and municipalities to ""optimize"" their schedules accordingly.

COVID-19 vaccines developed by Moderna Inc. and AstraZeneca Plc have also been approved in Japan. The Moderna vaccine had been used in vaccination programs at workplaces but hit a supply bottleneck recently.

The government has yet to start supplying the AstraZeneca vaccine due to rare cases of blood clots among younger people but is considering recommending its use for people aged 60 or older, according to sources familiar with the matter.

Faced with criticism for its sluggish vaccine rollout, the Suga government has ramped up its vaccination program, with the aim of completing by November the inoculation of all eligible people who wish to get vaccinated.

Suga has said the number of people who have received their first shot is expected to reach 40 percent by the end of July. But the survey found only 11 cities expect to meet the goal.

The survey also showed that a total of 32 local governments, or 68 percent, said they expect the amount of doses to be allocated for August and September to be insufficient, as the supplies remain almost the same as July's level.","July 18, 2021",0,2
Local government left in lurch by Japan's erratic vaccine rollout,"Confusion regarding coronavirus vaccinations is spreading among municipal governments in Japan -- and the blame lies with the Japanese government, which sped up the rollout but miscalculated the balance between its supply of vaccines and demand from local governments. The central government must strengthen its collaboration with municipal governments and reorganize the system.

Officials say that enough vaccines for everyone in Japan who wants to be vaccinated will arrive by September, and that it will secure the necessary number of shots. But supplies of the Pfizer vaccine are not keeping up with demand as municipal authorities' ability to administer shots has improved.

Universities, companies and other entities have also applied in their droves for use of the Moderna vaccine, and large-scale vaccinations by local governments using the Moderna vaccine have only been able to fulfill requests from about half of those seeking vaccination. Supplies up until the end of June had been far below initial expectations, but the government only recently announced this was the case.

Some municipal authorities have been forced to cancel vaccination appointments and temporarily stop accepting reservations. The vaccine shortage is particularly noticeable in municipalities where the rollout had progressed swiftly.

Until now, municipal governments have had a fire lit under them by the central government to achieve Prime Minister Yoshihide Suga's target of administering 1 million shots a day. Despite them taking pains to recruit medical professionals and secure venues for vaccination, it appears local governments have been left hung out to dry.

There is also a gulf in perceptions regarding vaccine stocks. The central government maintains that local governments have a total of 40 million doses in storage, and that it intends to reduce supplies to authorities said to have high stocks by 10% from August.

In response, local governments have pushed back, saying they ""have no surplus,"" and, ""What we have isn't stock, but our supply of second shots.""

One cause of the divergence of views is that the government's vaccination record system is not fully functional. Registration takes times, and the state of vaccinations is not reflected in real time. It has also been pointed out that the system makes it hard to get any information on those who have been vaccinated outside where their home address is registered.

To stop the confusion dragging on further, the government should work to understand the situation, and expedite efforts to improve system operations.

The government is establishing a framework to supply vaccines in accordance with local governments' inoculation speeds. Prefectural governments will decide how the supplies are distributed, but clear criteria must be provided to prevent any new sense of unfairness emerging.

The Suga administration has positioned vaccines as their ace in the hole to fight COVID-19, but cooperation within the government has been lacking. It must properly fulfill its role as a central point of command.","July 17, 2021",0,1
Internet hoaxes fan COVID vaccine hesitancy among Japanese youths,"TOKYO (Kyodo) -- False claims and misinformation about vaccines on social media are undermining young people's trust in COVID-19 vaccines in Japan, imperiling the government's efforts to finish large-scale inoculations by November as it pursues herd immunity.

Myths such as ""vaccination causes infertility"" and ""coronavirus vaccines using messenger RNA change your DNA"" have been widely spread, and anti-vaccination posts are rampant on Facebook and Twitter.

""There is absolutely no scientific evidence that the coronavirus vaccines will cause infertility,"" Taro Kono, the minister in charge of Japan's inoculation effort, said on his blog last month.

He said ""vaccine hoaxes"" have been spreading around the world and Japan is no exception. He urged the public to be wary of disinformation.

The American College of Obstetricians and Gynecologists ""recommends that pregnant individuals have access to COVID-19 vaccines"" and that ""claims linking COVID-19 vaccines to infertility are unfounded and have no scientific evidence supporting them.""

The Japan Association of Obstetricians and Gynecologists as well as the Japan Society for Infectious Diseases in Obstetrics and Gynecology also say the advantages of COVID-19 vaccination outweigh the disadvantages for pregnant women. The Japanese health ministry says there have been no reports of coronavirus vaccines affecting reproductive functions.

Kono's blog is overseen by a group of some 30 doctors and experts who founded a project called ""COV-Navi"" with an aim of providing comprehensible information on the efficacy and side effects of coronavirus vaccines.

""In the past few weeks, we have been receiving a lot of questions from people regarding false information about vaccines,"" said Tomoya Kurokawa, a doctor at Chiba University Hospital who also administers COV-Navi.

When vaccinations started at workplaces and universities in late June, more people looked up vaccination information online and came across hoaxes that fueled anxiety, Kurokawa said.

""Many young people are hesitant toward getting vaccinated because they think they will not fall seriously ill from COVID-19, thinking there's no point of inoculation,"" Kurokawa said, but warned the disease could cause long-term effects for people of all ages.

In a recent survey by Kyushu Bunka Gakuen, which operates private schools and universities in southwestern Japan prefecture of Nagasaki, a total of 388, or 45.9 percent, of the 846 high school students consulted said they would be vaccinated ""if it is compulsory.""

Meanwhile, 110 students, or 13.0 percent, said they would prefer not to get vaccinated.

The survey, conducted in early June, also showed 137 students, or 16.2 percent, said they would get inoculated while 34, or 4.1 percent, responded they would ""never"" get vaccinated.

Among the reasons for not wanting the vaccination, 59.1 percent of those who were against getting a shot cited ""a fear of side effects,"" followed by ""questionable"" effectiveness of vaccines at 13.4 percent.

A spokesman for the school said, ""Perhaps, conflicting information from the internet and people around (the students) is increasing their sense of insecurity (about vaccination).""

The governor of Tokyo, where a fresh state of emergency has been recently been declared and the highest cumulative number of coronavirus cases has been reported in Japan, also expressed concerns.

Tokyo Gov. Yuriko Koike said in a regular press conference last week both correct and incorrect information has been circulating on social media and that ""the diffusion of the correct knowledge about vaccines"" is necessary among young people to speed up the inoculation program.

Japan has recently been accelerating its vaccine rollout, extending the program to younger people after starting with health care workers and people aged 65 or older.

In a separate survey of about 11,800 people by a state-backed institute, 80.6 percent of the respondents aged 65 or older said they plan to get inoculated, while about 17.5 percent of those aged between 18 and 29 said they plan not to get vaccinated, according to the Research Institute of Economy, Trade and Industry.

The survey, which was conducted over three periods from October 2020 with the latest round carried finishing in May this year, showed that younger age groups are tending to be less open to vaccination.

""Promoting vaccination across all generations will require finding ways to motivate younger people to get vaccinated,"" RIETI researchers wrote.

Chiba University Hospital's Kurokawa said, ""It is important to make a decision on whether to get vaccinated after having understood the correct information about vaccines.""

""I'm not saying there is zero risk associated with the coronavirus vaccines, just like any other vaccines or medications, but the benefits of vaccination outweigh the risks,"" he said.","July 16, 2021",0,1
Japan's vaccine czar pumps brakes amid supply crunch,"TOKYO (Kyodo) -- Local governments in Japan need to slow down in administering COVID-19 vaccine to residents as supply is expected to remain limited in the coming months, the minister in charge of vaccination efforts said Thursday.

Taro Kono said Japan has secured sufficient Pfizer Inc. doses for about 1.2 million vaccinations per day through September, and called on prefectures and municipalities to ""optimize"" their schedules accordingly.

The request comes as local governments have complained that they were encouraged by the administration of Prime Minister Yoshihide Suga to rapidly expand vaccination capacity, only to be told that supply would not keep up.

Kono said Japan is still set to secure enough doses by September to fully vaccinate everyone in its population who is eligible and wishes to be inoculated, while apologizing for local governments being forced to suspend or delay reservations by residents due to the vaccine shortage.

""I'm sorry, but please wait a little longer,"" he said at an event in Tokyo organized by Kyodo News.

Japan expects to receive 70 million doses of the Pfizer vaccine from July through September, with an additional 40 million doses already delivered to local governments and still unused.

The total, divided by the number of days through September, comes to 1.2 million vaccinations per day, down from the current pace of 1.5 million, Kono said.

Kono, who is the minister for administrative reform and took on the vaccination job in January, said he had initially expected about 700,000 to 800,000 shots to be administered daily and was teased by Suga during a recent briefing for what turned out to be a very modest estimate.

After a sluggish start compared to other wealthy nations such as the United States and Britain, Japan has quickly ramped up its vaccination program with 19.7 percent of its population fully inoculated against COVID-19 as of Wednesday.

But Kono last month halted applications for companies to administer the Moderna Inc. vaccine to employees, saying he could not ensure that the necessary doses would be distributed quickly enough.
","July 16, 2021",0,2
Local bodies with 'no leftover vaccines' upset by Japan government plan to cut supplies,"Opposition has been voiced among some municipalities in Japan, including the major cities of Sapporo, Nagoya and Osaka, over the government's plan to reduce their COVID-19 vaccine supplies on the grounds that they have sufficient stocks -- a claim they dispute.

Under the plan for the first half of August disclosed by the Japanese government, the reduced amount will go to a stockpile handled by prefectural governments which can allocate the supplies to municipalities at their discretion.

The city of Sapporo claimed it does not hold ""excessive stocks,"" while Nagoya Mayor Takashi Kawamura expressed discontent with a 10% reduction in the city's basic vaccine supplies, allocated based on population, for the first half of August. He told reporters on July 13, ""We don't have any leftover vaccines. The national government needs to handle this properly.""

Although the central Japan city of Nagoya was set to receive 160,290 vaccine doses as basic supplies, the amount indicated by the national government's distribution plan was 145,080 doses. The municipal government argued that its move of securing supplies while taking into account the second round of vaccinations ""made it seem that stocks had increased.""

The Japanese government has defined ""stocks"" as supplies of vaccines yet to be administered that will last over six weeks, when making calculations using the average number of shots given recently. The Ministry of Health, Labor and Welfare said it ""considered the reality in the field"" for making the decision, but the Nagoya Municipal Government protested against the ministry, saying it cannot consent to this. The city intends to seek additional supplies distributed at the prefecture's discretion.

The city of Sapporo in Japan's northernmost prefecture of Hokkaido also announced in a July 13 press conference that it will temporarily suspend vaccine delivery to medical institutions between July 16 and 25, in response to the decrease in supplies. It also plans to ask some of the individuals who have already made reservations to change or cancel their vaccination appointments. In addition to securing vaccines for the second round of inoculations, delays in making entries in the national government's vaccination record system seem to have been factors that influenced the decision to reduce supplies for certain municipalities.

Meanwhile, the handling of supplies to be allocated to municipalities at the discretion of prefectures, which is to be decided this week, is another point of focus moving forward. While there has been a significant difference in inoculation speed depending on local bodies, this distribution system was introduced out of hope for measures to be taken befitting the situation of each area.

Osaka Gov. Hirofumi Yoshimura revealed July 13 that the prefecture intends to allocate half of the vaccine supplies left to their discretion to municipalities based on the numbers of new infections amid the fourth coronavirus wave. He explained, ""If the amount is limited, we should distribute them to the places (city areas) where outbreaks (of infection) are liable to occur."" He also said that the remaining half of supplies allocated to the prefecture will be distributed based on population, and asked for the understanding of residents in non-urban areas.","July 14, 2021",0,1
